turns,max_tiles,min_tiles,piece_distributions
80,5,-4,"{-4: 1, 16: 2, 4: 2, 32: 1, 2: 2, 8: 1}"
53,5,-4,"{2: 3, 16: 1, -4: 2, 4: 1, -2: 1, 32: 1}"
114,6,2,"{2: 4, 8: 3, 64: 1, 4: 1}"
35,3,-4,"{-2: 2, -4: 1, 2: 3, 8: 2, 4: 1}"
57,5,2,"{2: 3, 4: 3, 16: 1, 32: 1, 8: 1}"
49,4,2,"{4: 3, 2: 3, 16: 1, 8: 2}"
55,5,-4,"{16: 1, -4: 1, 2: 1, 4: 2, 32: 1, 8: 2, -2: 1}"
24,3,-4,"{-2: 1, 4: 3, 2: 2, -4: 1, 8: 2}"
49,5,-2,"{2: 3, 8: 4, -2: 1, 32: 1}"
34,4,-2,"{8: 3, 4: 2, 2: 2, 16: 1, -2: 1}"
35,4,-2,"{2: 2, 8: 2, 4: 3, 16: 1, -2: 1}"
65,5,-2,"{-2: 2, 8: 2, 2: 1, 4: 2, 32: 1, 16: 1}"
57,4,2,"{4: 3, 8: 4, 16: 1, 2: 1}"
82,5,-4,"{4: 2, 32: 2, 2: 1, -2: 2, -4: 1, 8: 1}"
48,4,-2,"{4: 3, 16: 2, -2: 1, 2: 2, 8: 1}"
58,5,-2,"{-2: 2, 8: 2, 2: 2, 16: 1, 4: 1, 32: 1}"
46,5,-2,"{-2: 2, 8: 1, 2: 1, 4: 3, 16: 1, 32: 1}"
116,6,2,"{8: 1, 2: 2, 4: 4, 16: 1, 64: 1}"
125,5,-4,"{-4: 2, 2: 1, 16: 1, -2: 2, 8: 2, 32: 1}"
58,5,-2,"{8: 2, 32: 1, -2: 2, 16: 1, 2: 2, 4: 1}"
52,5,-2,"{2: 4, 8: 1, 16: 1, 4: 1, 32: 1, -2: 1}"
81,5,-2,"{-2: 3, 32: 2, 4: 2, 8: 1, 2: 1}"
65,4,-8,"{4: 3, 8: 2, 16: 1, 2: 2, -8: 1}"
68,5,-2,"{-2: 3, 8: 2, 32: 1, 16: 1, 4: 2}"
58,5,-2,"{2: 2, 4: 2, 8: 2, 32: 1, -2: 1, 16: 1}"
19,3,-8,"{2: 2, 4: 2, -2: 3, 8: 1, -8: 1}"
55,5,-4,"{2: 2, 8: 2, 16: 1, 4: 1, -2: 1, -4: 1, 32: 1}"
56,5,2,"{2: 3, 8: 3, 4: 2, 32: 1}"
69,5,-2,"{2: 2, 8: 2, 4: 2, 32: 1, 16: 1, -2: 1}"
90,5,-2,"{4: 3, 16: 2, -2: 1, 32: 1, 2: 2}"
92,6,2,"{4: 4, 16: 1, 2: 2, 8: 1, 64: 1}"
80,5,-4,"{4: 2, -2: 1, 8: 2, 32: 1, 16: 1, -4: 1, 2: 1}"
154,6,-2,"{-2: 1, 8: 2, 2: 3, 4: 1, 64: 1, 32: 1}"
50,5,-2,"{-2: 2, 4: 3, 2: 2, 8: 1, 32: 1}"
68,5,-4,"{2: 3, -4: 2, 8: 2, 32: 1, 16: 1}"
40,5,-2,"{8: 2, 4: 3, 2: 1, -2: 2, 32: 1}"
24,4,-2,"{2: 3, 16: 1, 4: 3, 8: 1, -2: 1}"
71,5,2,"{2: 4, 16: 2, 8: 2, 32: 1}"
69,5,-2,"{-2: 1, 8: 3, 2: 4, 32: 1}"
34,3,-4,"{8: 3, 4: 3, -2: 1, -4: 1, 2: 1}"
50,5,-2,"{-2: 2, 8: 3, 2: 2, 4: 1, 32: 1}"
60,5,-4,"{4: 1, 32: 1, -4: 2, 8: 3, -2: 1, 2: 1}"
63,5,-8,"{16: 1, -2: 1, 4: 2, -8: 1, 2: 2, 32: 1, 8: 1}"
87,5,2,"{8: 3, 2: 3, 4: 2, 32: 1}"
20,4,-2,"{-2: 2, 8: 1, 2: 2, 16: 2, 4: 2}"
31,4,-8,"{2: 3, -4: 1, 4: 2, 16: 1, -2: 1, -8: 1}"
94,6,-8,"{2: 3, -8: 1, 8: 3, 64: 1, -2: 1}"
67,5,-4,"{4: 2, 8: 2, 2: 1, 32: 1, -4: 1, 16: 1, -2: 1}"
65,5,2,"{4: 4, 8: 2, 32: 1, 2: 1, 16: 1}"
47,4,-2,"{2: 3, 4: 3, 8: 1, -2: 1, 16: 1}"
